BATCH,DATE,ACCOUNT,ACCOUNT DESCRIPTION,DR,CR
17,2021-11-06,103,Inventory,0,1356.3875
17,2021-11-06,101,Cash,1595.75,0
17,Description:,Sales completed,,,,
17,2021-11-12,301,Owner's Equity,0,239.3625000000029
18,2021-11-12,103,Inventory,4041.43,0
18,2021-11-12,201,Accounts Payable,0,4041.43
18,Description:,Restocking products,,,,
18,2021-11-18,301,Owner's Equity,7.275957614183426e-12,0
19,2021-11-18,201,Accounts Payable,878.12,0
19,2021-11-18,101,Cash,0,878.12
19,Description:,Reduced payable amount,,,,
19,2021-11-28,301,Owner's Equity,0,7.275957614183426e-12
20,2021-11-28,103,Inventory,2368.65,0
20,2021-11-28,201,Accounts Payable,0,2368.65
20,Description:,Added to inventory,,,,
20,2021-12-03,301,Owner's Equity,7.275957614183426e-12,0
21,2021-12-03,201,Accounts Payable,1470.54,0
21,2021-12-03,101,Cash,0,1470.54
21,Description:,Paid off a creditor,,,,
22,2021-12-10,401,Sales Revenue,0,2689.01
22,2021-12-10,501,Cost of Goods Sold,2285.6585,0
22,2021-12-10,103,Inventory,0,2285.6585
22,2021-12-10,101,Cash,2689.01,0
22,Description:,Goods exchanged for money,,,,
22,2021-12-17,301,Owner's Equity,0,403.3515000000043
23,2021-12-17,502,Rent Expense,1545.61,0
23,2021-12-17,503,Salary Expense,3987.34,0
23,2021-12-17,101,Cash,0,5532.95
23,Description:,Monthly bills paid,,,,
23,2021-12-18,301,Owner's Equity,5532.950000000004,0
24,2021-12-18,101,Cash,5794.26,0
24,2021-12-18,202,Loan Payable,0,5794.26
24,Description:,Loan activity,,,,
24,2021-12-28,301,Owner's Equity,0,7.275957614183426e-12
25,2021-12-28,103,Inventory,4695.85,0
25,2021-12-28,201,Accounts Payable,0,4695.85
25,Description:,Added to inventory,,,,
25,2022-01-06,301,Owner's Equity,7.275957614183426e-12,0
26,2022-01-06,103,Inventory,645.12,0
26,2022-01-06,201,Accounts Payable,0,645.12
26,Description:,Restocking products,,,,
26,2022-01-08,301,Owner's Equity,0,7.275957614183426e-12
27,2022-01-08,103,Inventory,717.2,0
27,2022-01-08,201,Accounts Payable,0,717.2
27,Description:,Added to inventory,,,,
28,2022-01-15,101,Cash,9998.81,0
28,2022-01-15,202,Loan Payable,0,9998.81
28,Description:,Loan account adjustments,,,,
29,2022-01-17,201,Accounts Payable,1381.58,0
29,2022-01-17,101,Cash,0,1381.58
29,Description:,Paid off a creditor,,,,
30,2022-01-20,101,Cash,0,8138.67
30,2022-01-20,202,Loan Payable,8138.67,0
30,Description:,Loan activity,,,,
31,2022-01-22,401,Sales Revenue,0,1007.05
31,2022-01-22,501,Cost of Goods Sold,855.9925,0
31,2022-01-22,103,Inventory,0,855.9925
31,2022-01-22,101,Cash,1007.05,0
31,Description:,Sales completed,,,,
31,2022-01-28,301,Owner's Equity,0,151.05749999999534
32,2022-01-28,401,Sales Revenue,0,5773.2
32,2022-01-28,501,Cost of Goods Sold,4907.219999999999,0
32,2022-01-28,103,Inventory,0,4907.219999999999
32,2022-01-28,102,Accounts Receivable,5773.2,0
32,Description:,Sales completed,,,,
32,2022-02-06,301,Owner's Equity,0,865.9800000000032
33,2022-02-06,101,Cash,0,8371.49
33,2022-02-06,202,Loan Payable,8371.49,0
33,Description:,Bank interactions,,,,
34,2022-02-10,502,Rent Expense,1077.93,0
34,2022-02-10,503,Salary Expense,3733.74,0
34,2022-02-10,101,Cash,0,4811.67
34,Description:,Monthly bills paid,,,,
34,2022-02-14,301,Owner's Equity,4811.669999999998,0
35,2022-02-14,502,Rent Expense,2758.11,0
35,2022-02-14,503,Salary Expense,6488.16,0
35,2022-02-14,101,Cash,0,9246.27
35,Description:,Operational costs deducted,,,,
35,2022-02-22,301,Owner's Equity,9246.270000000004,0
36,2022-02-22,101,Cash,5403.57,0
36,2022-02-22,202,Loan Payable,0,5403.57
36,Description:,Loan activity,,,,
37,2022-03-03,201,Accounts Payable,1708.7,0
37,2022-03-03,101,Cash,0,1708.7
37,Description:,Debt payment,,,,
37,2022-03-06,301,Owner's Equity,0,7.275957614183426e-12
38,2022-03-06,101,Cash,6854.07,0
38,2022-03-06,202,Loan Payable,0,6854.07
38,Description:,Loan activity,,,,
39,2022-03-13,103,Inventory,1500.54,0
39,2022-03-13,201,Accounts Payable,0,1500.54
39,Description:,Goods purchased,,,,
39,2022-03-16,301,Owner's Equity,7.275957614183426e-12,0
40,2022-03-16,502,Rent Expense,1872.31,0
40,2022-03-16,503,Salary Expense,4842.02,0
40,2022-03-16,101,Cash,0,6714.33
40,Description:,Monthly bills paid,,,,
40,2022-03-17,301,Owner's Equity,6714.330000000002,0
41,2022-03-17,401,Sales Revenue,0,5786.89
41,2022-03-17,501,Cost of Goods Sold,4918.8565,0
41,2022-03-17,103,Inventory,0,4918.8565
41,2022-03-17,101,Cash,5786.89,0
41,Description:,Goods exchanged for money,,,,
41,2022-03-19,301,Owner's Equity,0,868.033500000005
42,2022-03-19,401,Sales Revenue,0,5546.21
42,2022-03-19,501,Cost of Goods Sold,4714.2785,0
42,2022-03-19,103,Inventory,0,4714.2785
42,2022-03-19,102,Accounts Receivable,5546.21,0
42,Description:,Goods exchanged for money,,,,
42,2022-03-26,301,Owner's Equity,0,831.9314999999988
43,2022-03-26,502,Rent Expense,2397.39,0
43,2022-03-26,503,Salary Expense,6404.65,0
43,2022-03-26,101,Cash,0,8802.039999999999
43,Description:,Regular expenses,,,,
43,2022-03-27,301,Owner's Equity,8802.039999999994,0
44,2022-03-27,103,Inventory,918.92,0
44,2022-03-27,201,Accounts Payable,0,918.92
44,Description:,Restocking products,,,,
45,2022-04-05,103,Inventory,1381.1,0
45,2022-04-05,201,Accounts Payable,0,1381.1
45,Description:,Restocking products,,,,
46,2022-04-09,101,Cash,0,8548.43
46,2022-04-09,202,Loan Payable,8548.43,0
46,Description:,Bank interactions,,,,
47,2022-04-18,401,Sales Revenue,0,2395.45
47,2022-04-18,501,Cost of Goods Sold,2036.1324999999997,0
47,2022-04-18,103,Inventory,0,2036.1324999999997
47,2022-04-18,101,Cash,2395.45,0
47,Description:,Items sold,,,,
47,2022-04-25,301,Owner's Equity,0,359.3174999999974
48,2022-04-25,101,Cash,0,9836.81
48,2022-04-25,202,Loan Payable,9836.81,0
48,Description:,Bank interactions,,,,
48,2022-04-28,301,Owner's Equity,0,1.8189894035458565e-12
49,2022-04-28,401,Sales Revenue,0,1232.78
49,2022-04-28,501,Cost of Goods Sold,1047.863,0
49,2022-04-28,103,Inventory,0,1047.863
49,2022-04-28,102,Accounts Receivable,1232.78,0
49,Description:,Items sold,,,,
49,2022-05-06,301,Owner's Equity,0,184.91699999999946
50,2022-05-06,101,Cash,9096.43,0
50,2022-05-06,202,Loan Payable,0,9096.43
50,Description:,Loan activity,,,,
